llparte,CodAcc2,aaaa,mes,dia,dia_mes,hora,horarecode,Ncod_canton,Ncod_distrito,NX_WGS84,NY_WGS84,lugar_hechos,Total_Involucrados,dano_ileso_sum,dano_leve_sum,dano_grave_sum,dano_muerto_sum
2014-10000023,Colisión entre vehículos,2014,Enero,Martes,28,10,06:00-11:59,Heredia,Heredia,-84.11672,9.998029999,Heredia-Heredia-Heredia AV 2 CALLE 0,3,2,1,0,0
2014-10000053,Colisión entre vehículos,2014,Febrero,Sábado,15,12,12:00-17:59,Heredia,Heredia,-84.12187667,10.003475,Heredia-Heredia-Heredia AV 9 CALLE 12,3,2,1,0,0
2014-10000075,Colisión entre vehículos,2014,Marzo,Sábado,1,12,12:00-17:59,Heredia,Mercedes,-84.12455333,10.01608,Heredia-Heredia-Mercedes 100 OESTE 200 SUR  OFIC SCOUTS BARVA,2,1,1,0,0
2014-10000077,Colisión entre vehículos,2014,Marzo,Domingo,2,14,12:00-17:59,Heredia,Mercedes,-84.1332,9.998299997,Heredia-Heredia-Mercedes 200 OESTE 200 SUR PLAZA DEPORTES DE B SN JORGE,2,1,1,0,0
2014-10000078,Colisión entre vehículos,2014,Marzo,Domingo,2,16,12:00-17:59,Heredia,Heredia,-84.10927815,9.993464964,Heredia-Heredia-Heredia SEMAFOROS ASILO ANSIANOS LA PUEBLA,5,0,4,1,0
2014-10000079,Colisión entre vehículos,2014,Marzo,Domingo,2,21,18:00-23:59,Heredia,Heredia,-84.1201,9.99835,Heredia-Heredia-Heredia AV 2 CALLE 8,4,2,2,0,0
2014-10000096,Colisión entre vehículos,2014,Marzo,Jueves,13,7,06:00-11:59,Heredia,Heredia,-84.11922,10.00427,Heredia-Heredia-Heredia AV 11 CALLE 6,2,1,1,0,0
2014-10000117,Colisión entre vehículos,2014,Marzo,Jueves,27,7,06:00-11:59,Heredia,Heredia,-84.11589,10.00052,Heredia-Heredia-Heredia AV 3 CALLE 1 HEREDIA,3,2,1,0,0
2014-10000131,Colisión entre vehículos,2014,Abril,Lunes,7,6,06:00-11:59,Heredia,Heredia,-84.12182,9.995989996,Heredia-Heredia-Heredia AV 8 CALLE 12,3,1,2,0,0
2014-10000135,Colisión entre vehículos,2014,Abril,Martes,8,9,06:00-11:59,Heredia,Heredia,-84.11666833,9.999309999,Heredia-Heredia-Heredia AV 3 CALLE 0 HEREDIA,2,1,1,0,0
2014-10000143,Colisión entre vehículos,2014,Abril,Viernes,11,9,06:00-11:59,Heredia,Heredia,-84.12182,9.99678,Heredia-Heredia-Heredia AV 6 CALLE 12 HEREDIA,2,1,1,0,0
2014-10000179,Colisión entre vehículos,2014,Mayo,Sábado,17,13,12:00-17:59,Heredia,Heredia,-84.1168,10.00305,Heredia-Heredia-Heredia AV 9 CALLE 0,4,3,1,0,0
2014-10000228,Colisión entre vehículos,2014,Junio,Miércoles,25,18,18:00-23:59,Heredia,Heredia,-84.121755,9.993196669,Heredia-Heredia-Heredia AV 14 CALLE  12,2,1,1,0,0
2014-10000238,Colisión entre vehículos,2014,Julio,Viernes,4,9,06:00-11:59,Heredia,Heredia,-84.11932167,9.998213332,Heredia-Heredia-Heredia AV 2 CALLE 6,3,1,2,0,0
2014-10000246,Colisión entre vehículos,2014,Julio,Martes,8,20,18:00-23:59,Heredia,Heredia,-84.112495,9.999691663,Heredia-Heredia-Heredia AV 1 Y 3 CALLE  9,2,1,1,0,0
2014-10000271,Colisión entre vehículos,2014,Agosto,Lunes,4,17,12:00-17:59,Heredia,Mercedes,-84.11768167,10.00670834,Heredia-Heredia-Mercedes 100 NORTE AUTO MERCADO,3,2,1,0,0
2014-10000272,Colisión entre vehículos,2014,Agosto,Lunes,4,20,18:00-23:59,Heredia,Heredia,-84.11318333,9.995196665,Heredia-Heredia-Heredia AV 8 CALLE  7,2,1,1,0,0
2014-10000314,Colisión entre vehículos,2014,Octubre,Viernes,31,16,12:00-17:59,Heredia,Heredia,-84.11429,10.00373333,Heredia-Heredia-Heredia AV 11 CALLE 7,5,1,4,0,0
2014-10000335,Colisión entre vehículos,2014,Noviembre,Jueves,13,14,12:00-17:59,Heredia,Heredia,-84.11676833,10.00315333,Heredia-Heredia-Heredia AV 9 CALLE  0,3,2,1,0,0
2014-10000350,Colisión entre vehículos,2014,Noviembre,Jueves,20,13,12:00-17:59,Heredia,Heredia,-84.11411,9.999716666,Heredia-Heredia-Heredia AV 1 CALLE  5,2,1,1,0,0
2014-10000352,Colisión entre vehículos,2014,Noviembre,Domingo,23,14,12:00-17:59,Heredia,Heredia,-84.1201,9.995820001,Heredia-Heredia-Heredia AV 8 CALLE 8,5,3,2,0,0
2014-10000384,Colisión entre vehículos,2014,Diciembre,Sábado,13,21,18:00-23:59,Heredia,Ulloa,-84.14185833,9.978993338,Heredia-Heredia-Ulloa FRENTE A MAYCA  COSTADO NORTE PEPSI,3,2,1,0,0
2014-1300007,Colisión entre vehículos,2014,Marzo,Viernes,21,7,06:00-11:59,Heredia,Ulloa,-84.10964452,9.961391323,Heredia-Heredia-Ulloa PUENTE SOBRE RIO VIRILLA LADO DE HEREDIA,3,2,1,0,0
