cod_provin,provincia,cod_canton,canton,area.km2,pob_tot2020,pob_mjr_2020,pob_hmbr_2020,dpob2020,idsc2013,idsc2017,ips2019,nhb2019,tvacuna2019,den_rdvial,IPG2014,IDG2014
1,San José,101,San José,44.62,347398,175239,172159,7785.7,75.5,75.4,69.1,77.39,88.31,15.12034177,0.804661438,0.729690661
1,San José,102,Escazú,34.53,70054,35529,34525,2028.79,100,100,74.57,87.64,92.02,7.211439306,0.925106482,0.860856385
1,San José,103,Desamparados,118.98,245208,122886,122322,2060.92,67.1,71.88,70.75,85.41,88.57,3.916747827,0.762835767,0.71372071
1,San José,104,Puriscal,555.02,37983,18842,19141,68.44,54.4,53.31,68.34,88.19,99.02,0.847033172,0.765741706,0.739419314
1,San José,105,Tarrazú,291.27,18535,9103,9432,63.64,32.6,23.7,71.92,89.97,92.19,0.858296878,0.737969689,0.664652911
1,San José,106,Aserrí,168.26,63529,31637,31892,377.56,51.9,47.09,69.44,87.46,93.71,1.375768164,0.775448683,0.718674994
1,San José,107,Mora,163.47,30318,15210,15108,185.47,63.9,55.93,74.33,89.76,113.22,1.744474658,0.820387677,0.777459141
1,San José,108,Goicoechea,31.7,138525,70124,68401,4369.87,75.3,77.49,74.61,86.69,88.48,7.350504682,0.797172146,0.731441714
1,San José,109,Santa Ana,61.42,60453,30342,30111,984.26,89.9,87.1,76.18,88.19,84.99,3.998662943,0.929071928,0.882957809
1,San José,110,Alajuelita,21.38,94548,46831,47717,4422.26,59.4,68.98,70.73,84.72,93.59,5.891006389,0.768166531,0.651101915
1,San José,111,Vázquez de Coronado,223.93,71663,36112,35551,320.02,81.2,82.84,73.71,89.08,88.56,1.023944584,0.822122461,0.755453594
1,San José,112,Acosta,342.56,21976,10666,11310,64.15,37.8,45.1,74.48,91.69,108.95,0.666258949,0.758765191,0.71057237
1,San José,113,Tibás,8.27,84873,43244,41629,10262.76,76.2,72.95,71.24,84.74,86.92,13.40095067,0.784046939,0.674060832
1,San José,114,Moravia,28.82,62669,31948,30721,2174.5,88.7,83.59,78.16,89.22,73.86,5.283781771,0.834800836,0.804559595
1,San José,115,Montes de Oca,15.78,62533,32107,30426,3962.8,96.5,96.77,76.9,84.53,110.16,8.553392151,0.834125362,0.746845389
1,San José,116,Turrubares,416.25,6871,3276,3595,16.51,37.6,39.85,73.53,85.97,135.71,0.588090979,0.776193678,0.73752286
1,San José,117,Dota,404.44,7948,3934,4014,19.65,39.5,38.56,71.35,89.1,106.36,0.436458586,0.730266564,0.674907837
1,San José,118,Curridabat,16.06,79577,40483,39094,4954.98,81.8,90.77,72.23,85.82,78.76,11.1812844,0.833167346,0.753594302
1,San José,119,Pérez Zeledón,1901.08,143117,71835,71282,75.28,50.6,44.58,77.39,88.47,102.15,0.797362062,0.699369499,0.705224523
1,San José,120,León Cortés Castro,121.89,13769,6777,6992,112.96,30,32.62,74.39,92.53,103.7,1.165929989,0.735642624,0.665720246
2,Alajuela,201,Alajuela,391.62,314209,154919,159290,802.33,65.3,65.31,72.92,83.88,92.37,2.803450318,0.799861885,0.736508753
2,Alajuela,202,San Ramón,1021.74,93872,46688,47184,91.87,60.8,63.54,76.38,86.76,91.26,0.961272555,0.753941817,0.745511597
2,Alajuela,203,Grecia,142.45,78037,38571,39466,547.82,56.7,74.49,73.85,89.76,92.73,2.359165514,0.726040913,0.715521828
2,Alajuela,204,San Mateo,125.03,7141,3470,3671,57.11,63.2,76.06,72.89,87.06,92.54,1.498068303,0.457451507,0.775111518
